datetime,pm25
2022-04-18 12:00,54.3
2022-04-19 12:00,29.1
2022-04-20 12:00,53.1
2022-04-21 12:00,51.2
2022-04-22 12:00,41.6
2022-04-23 12:00,40.3
2022-04-24 12:00,44.7
2022-04-25 12:00,57.8
2022-04-26 12:00,34.9
2022-04-27 12:00,39.2
2022-04-28 12:00,52.9
2022-04-29 12:00,37.7
2022-04-30 12:00,37.7
2022-05-01 12:00,40.7
2022-05-02 12:00,29.4
2022-05-03 12:00,40.4
2022-05-04 12:00,28.3
2022-05-05 12:00,44.4
2022-05-06 12:00,36.7
2022-05-07 12:00,54.3
2022-05-08 12:00,37.6
2022-05-09 12:00,45.7
2022-05-10 12:00,23.7
2022-05-11 12:00,32.5
2022-05-12 12:00,35.4
2022-05-13 12:00,46.2
2022-05-14 12:00,18.2
2022-05-15 12:00,38.9
2022-05-16 12:00,35.1
2022-05-17 12:00,42.1
2022-05-18 12:00,34.9
2022-05-19 12:00,29.0
2022-05-20 12:00,23.9
2022-05-21 12:00,17.5
2022-05-22 12:00,28.5
2022-05-23 12:00,24.8
2022-05-24 12:00,42.0
2022-05-25 12:00,20.4
2022-05-26 12:00,27.3
2022-05-27 12:00,11.6
2022-05-28 12:00,20.5
2022-05-29 12:00,25.2
2022-05-30 12:00,29.2
2022-05-31 12:00,33.7
2022-06-01 12:00,21.3
2022-06-02 12:00,12.2
2022-06-03 12:00,24.4
2022-06-04 12:00,24.4
2022-06-05 12:00,23.7
2022-06-06 12:00,13.7
2022-06-07 12:00,28.0
2022-06-08 12:00,19.2
2022-06-09 12:00,23.6
2022-06-10 12:00,27.8
2022-06-11 12:00,22.1
2022-06-12 12:00,19.1
2022-06-13 12:00,33.7
2022-06-14 12:00,18.0
2022-06-15 12:00,13.4
2022-06-16 12:00,16.3
2022-06-17 12:00,26.9
2022-06-18 12:00,15.7
2022-06-19 12:00,18.6
2022-06-20 12:00,23.7
2022-06-21 12:00,9.7
2022-06-22 12:00,3.0
2022-06-23 12:00,15.6
2022-06-24 12:00,14.8
2022-06-25 12:00,7.8
2022-06-26 12:00,19.4
2022-06-27 12:00,17.1
2022-06-28 12:00,4.1
2022-06-29 12:00,15.9
2022-06-30 12:00,10.0
2022-07-01 12:00,3.0
2022-07-02 12:00,14.9
2022-07-03 12:00,10.7
2022-07-04 12:00,5.0
2022-07-05 12:00,15.0
2022-07-06 12:00,14.6
2022-07-07 12:00,5.9
2022-07-08 12:00,13.6
2022-07-09 12:00,18.5
2022-07-10 12:00,4.5
2022-07-11 12:00,13.2
2022-07-12 12:00,10.1
2022-07-13 12:00,28.2
2022-07-14 12:00,3.0
2022-07-15 12:00,15.6
2022-07-16 12:00,7.6
2022-07-17 12:00,9.2
2022-07-18 12:00,25.2
2022-07-19 12:00,10.0
2022-07-20 12:00,28.0
2022-07-21 12:00,6.6
2022-07-22 12:00,13.0
2022-07-23 12:00,6.3
2022-07-24 12:00,4.8
2022-07-25 12:00,10.9
2022-07-26 12:00,8.3
2022-07-27 12:00,12.3
2022-07-28 12:00,3.0
2022-07-29 12:00,26.9
2022-07-30 12:00,9.7
2022-07-31 12:00,25.2
2022-08-01 12:00,3.4
2022-08-02 12:00,13.9
2022-08-03 12:00,37.1
2022-08-04 12:00,5.1
2022-08-05 12:00,3.0
2022-08-06 12:00,8.1
2022-08-07 12:00,16.5
2022-08-08 12:00,18.5
2022-08-09 12:00,23.6
2022-08-10 12:00,11.4
2022-08-11 12:00,3.0
2022-08-12 12:00,10.6
2022-08-13 12:00,24.3
2022-08-14 12:00,18.4
2022-08-15 12:00,3.0
2022-08-16 12:00,15.1
2022-08-17 12:00,26.9
2022-08-18 12:00,33.1
2022-08-19 12:00,21.0
2022-08-20 12:00,19.3
2022-08-21 12:00,7.3
2022-08-22 12:00,10.9
2022-08-23 12:00,18.4
2022-08-24 12:00,22.5
2022-08-25 12:00,23.5
2022-08-26 12:00,15.5
2022-08-27 12:00,10.6
2022-08-28 12:00,14.0
2022-08-29 12:00,11.4
2022-08-30 12:00,26.3
2022-08-31 12:00,3.2
2022-09-01 12:00,19.5
2022-09-02 12:00,26.2
2022-09-03 12:00,35.3
2022-09-04 12:00,24.2
2022-09-05 12:00,32.2
2022-09-06 12:00,21.5
2022-09-07 12:00,19.3
2022-09-08 12:00,20.4
2022-09-09 12:00,38.6
2022-09-10 12:00,34.9
2022-09-11 12:00,31.4
2022-09-12 12:00,54.7
2022-09-13 12:00,28.4
2022-09-14 12:00,34.2
2022-09-15 12:00,32.3
2022-09-16 12:00,28.6
2022-09-17 12:00,49.5
2022-09-18 12:00,43.7
2022-09-19 12:00,21.0
2022-09-20 12:00,29.6
2022-09-21 12:00,36.9
2022-09-22 12:00,40.4
2022-09-23 12:00,23.9
2022-09-24 12:00,17.3
2022-09-25 12:00,20.8
2022-09-26 12:00,36.1
2022-09-27 12:00,36.5
2022-09-28 12:00,40.7
2022-09-29 12:00,32.5
2022-09-30 12:00,29.5
2022-10-01 12:00,23.8
2022-10-02 12:00,43.3
2022-10-03 12:00,44.3
2022-10-04 12:00,49.9
2022-10-05 12:00,49.0
2022-10-06 12:00,41.8
2022-10-07 12:00,54.8
2022-10-08 12:00,43.6
2022-10-09 12:00,40.1
2022-10-10 12:00,41.9
2022-10-11 12:00,42.1
2022-10-12 12:00,30.1
2022-10-13 12:00,49.4
2022-10-14 12:00,50.8
2022-10-15 12:00,46.6
2022-10-16 12:00,44.5
2022-10-17 12:00,53.8
2022-10-18 12:00,65.3
2022-10-19 12:00,52.5
2022-10-20 12:00,48.9
2022-10-21 12:00,48.9
2022-10-22 12:00,53.7
2022-10-23 12:00,44.9
2022-10-24 12:00,54.7
2022-10-25 12:00,56.8
2022-10-26 12:00,71.8
2022-10-27 12:00,65.2
2022-10-28 12:00,66.6
2022-10-29 12:00,53.3
2022-10-30 12:00,65.1
2022-10-31 12:00,51.3
2022-11-01 12:00,63.5
2022-11-02 12:00,65.1
2022-11-03 12:00,56.2
2022-11-04 12:00,79.0
2022-11-05 12:00,68.2
2022-11-06 12:00,49.1
2022-11-07 12:00,69.4
2022-11-08 12:00,62.3
2022-11-09 12:00,66.2
2022-11-10 12:00,70.6
2022-11-11 12:00,70.6
2022-11-12 12:00,51.8
2022-11-13 12:00,59.4
2022-11-14 12:00,75.5
2022-11-15 12:00,80.3
2022-11-16 12:00,85.7
2022-11-17 12:00,85.5
2022-11-18 12:00,55.2
2022-11-19 12:00,78.4
2022-11-20 12:00,57.5
2022-11-21 12:00,86.3
2022-11-22 12:00,76.0
2022-11-23 12:00,65.3
2022-11-24 12:00,91.1
2022-11-25 12:00,80.7
2022-11-26 12:00,60.9
2022-11-27 12:00,78.9
2022-11-28 12:00,71.3
2022-11-29 12:00,78.5
2022-11-30 12:00,74.4
2022-12-01 12:00,89.6
2022-12-02 12:00,67.7
2022-12-03 12:00,82.1
2022-12-04 12:00,94.5
2022-12-05 12:00,73.8
2022-12-06 12:00,82.6
2022-12-07 12:00,82.9
2022-12-08 12:00,76.2
2022-12-09 12:00,87.3
2022-12-10 12:00,83.3
2022-12-11 12:00,75.4
2022-12-12 12:00,97.4
2022-12-13 12:00,90.1
2022-12-14 12:00,82.7
2022-12-15 12:00,79.3
2022-12-16 12:00,78.5
2022-12-17 12:00,95.0
2022-12-18 12:00,84.3
2022-12-19 12:00,89.4
2022-12-20 12:00,84.6
2022-12-21 12:00,91.3
2022-12-22 12:00,85.7
2022-12-23 12:00,93.0
2022-12-24 12:00,85.7
2022-12-25 12:00,94.1
2022-12-26 12:00,93.0
2022-12-27 12:00,86.9
2022-12-28 12:00,81.2
2022-12-29 12:00,80.8
2022-12-30 12:00,82.6
2022-12-31 12:00,80.8
2023-01-01 12:00,95.8
2023-01-02 12:00,88.6
2023-01-03 12:00,101.7
2023-01-04 12:00,107.5
2023-01-05 12:00,89.6
2023-01-06 12:00,77.1
2023-01-07 12:00,86.6
2023-01-08 12:00,89.1
2023-01-09 12:00,77.9
2023-01-10 12:00,87.8
2023-01-11 12:00,92.2
2023-01-12 12:00,86.3
2023-01-13 12:00,83.8
2023-01-14 12:00,83.9
2023-01-15 12:00,104.3
2023-01-16 12:00,88.7
2023-01-17 12:00,83.3
2023-01-18 12:00,87.0
2023-01-19 12:00,97.5
2023-01-20 12:00,84.4
2023-01-21 12:00,93.6
2023-01-22 12:00,95.5
2023-01-23 12:00,95.6
2023-01-24 12:00,100.7
2023-01-25 12:00,85.0
2023-01-26 12:00,98.3
2023-01-27 12:00,82.8
2023-01-28 12:00,85.8
2023-01-29 12:00,98.4
2023-01-30 12:00,95.3
2023-01-31 12:00,88.5
2023-02-01 12:00,78.8
2023-02-02 12:00,92.6
2023-02-03 12:00,82.8
2023-02-04 12:00,80.3
2023-02-05 12:00,82.2
2023-02-06 12:00,89.1
2023-02-07 12:00,69.9
2023-02-08 12:00,89.5
2023-02-09 12:00,87.7
2023-02-10 12:00,81.4
2023-02-11 12:00,94.1
2023-02-12 12:00,90.3
2023-02-13 12:00,80.3
2023-02-14 12:00,79.4
2023-02-15 12:00,90.0
2023-02-16 12:00,72.0
2023-02-17 12:00,81.1
2023-02-18 12:00,78.3
2023-02-19 12:00,83.5
2023-02-20 12:00,84.3
2023-02-21 12:00,82.5
2023-02-22 12:00,90.8
2023-02-23 12:00,83.1
2023-02-24 12:00,78.4
2023-02-25 12:00,70.8
2023-02-26 12:00,85.8
2023-02-27 12:00,83.8
2023-02-28 12:00,90.7
2023-03-01 12:00,72.6
2023-03-02 12:00,78.3
2023-03-03 12:00,77.1
2023-03-04 12:00,76.4
2023-03-05 12:00,76.7
2023-03-06 12:00,62.4
2023-03-07 12:00,82.1
2023-03-08 12:00,80.2
2023-03-09 12:00,83.5
2023-03-10 12:00,91.9
2023-03-11 12:00,70.8
2023-03-12 12:00,72.5
2023-03-13 12:00,72.3
2023-03-14 12:00,87.2
2023-03-15 12:00,57.2
2023-03-16 12:00,74.4
2023-03-17 12:00,58.1
2023-03-18 12:00,48.6
2023-03-19 12:00,52.5
2023-03-20 12:00,57.0
2023-03-21 12:00,76.0
2023-03-22 12:00,59.9
2023-03-23 12:00,64.4
2023-03-24 12:00,56.3
2023-03-25 12:00,69.8
2023-03-26 12:00,55.5
2023-03-27 12:00,74.2
2023-03-28 12:00,55.1
2023-03-29 12:00,56.2
2023-03-30 12:00,62.7
2023-03-31 12:00,61.2
2023-04-01 12:00,71.8
2023-04-02 12:00,60.7
2023-04-03 12:00,49.4
2023-04-04 12:00,53.9
2023-04-05 12:00,53.1
2023-04-06 12:00,62.8
2023-04-07 12:00,59.4
2023-04-08 12:00,54.7
2023-04-09 12:00,61.9
2023-04-10 12:00,50.1
2023-04-11 12:00,52.5
2023-04-12 12:00,54.4
2023-04-13 12:00,64.5
2023-04-14 12:00,50.8
2023-04-15 12:00,48.1
2023-04-16 12:00,41.8
2023-04-17 12:00,55.0
2023-04-18 12:00,44.1
2023-04-19 12:00,50.9
2023-04-20 12:00,32.2
2023-04-21 12:00,55.1
2023-04-22 12:00,35.4
2023-04-23 12:00,39.1
2023-04-24 12:00,53.1
2023-04-25 12:00,33.3
2023-04-26 12:00,42.7
2023-04-27 12:00,43.2
2023-04-28 12:00,34.0
2023-04-29 12:00,52.0
2023-04-30 12:00,52.6
2023-05-01 12:00,24.2
2023-05-02 12:00,27.7
2023-05-03 12:00,45.1
2023-05-04 12:00,27.5
2023-05-05 12:00,34.2
2023-05-06 12:00,37.7
2023-05-07 12:00,41.5
2023-05-08 12:00,33.6
2023-05-09 12:00,35.5
2023-05-10 12:00,27.9
2023-05-11 12:00,43.8
2023-05-12 12:00,28.9
2023-05-13 12:00,34.9
2023-05-14 12:00,27.5
2023-05-15 12:00,31.9
2023-05-16 12:00,29.1
2023-05-17 12:00,28.5
2023-05-18 12:00,21.1
2023-05-19 12:00,35.0
2023-05-20 12:00,39.4
2023-05-21 12:00,29.4
2023-05-22 12:00,32.8
2023-05-23 12:00,33.1
2023-05-24 12:00,33.2
2023-05-25 12:00,27.7
2023-05-26 12:00,26.4
2023-05-27 12:00,31.1
2023-05-28 12:00,24.2
2023-05-29 12:00,15.4
2023-05-30 12:00,22.8
2023-05-31 12:00,7.0
2023-06-01 12:00,21.6
2023-06-02 12:00,24.5
2023-06-03 12:00,30.6
2023-06-04 12:00,21.4
2023-06-05 12:00,27.2
2023-06-06 12:00,19.3
2023-06-07 12:00,10.7
2023-06-08 12:00,7.2
2023-06-09 12:00,10.3
2023-06-10 12:00,6.7
2023-06-11 12:00,22.3
2023-06-12 12:00,15.2
2023-06-13 12:00,21.0
2023-06-14 12:00,16.7
2023-06-15 12:00,24.1
2023-06-16 12:00,23.9
2023-06-17 12:00,9.9
2023-06-18 12:00,12.5
2023-06-19 12:00,10.1
2023-06-20 12:00,3.0
2023-06-21 12:00,19.2
2023-06-22 12:00,23.0
2023-06-23 12:00,13.2
2023-06-24 12:00,9.0
2023-06-25 12:00,21.4
2023-06-26 12:00,3.0
2023-06-27 12:00,13.7
2023-06-28 12:00,13.2
2023-06-29 12:00,7.2
2023-06-30 12:00,22.7
2023-07-01 12:00,19.2
2023-07-02 12:00,9.2
2023-07-03 12:00,10.4
2023-07-04 12:00,7.8
2023-07-05 12:00,6.7
2023-07-06 12:00,3.0
2023-07-07 12:00,21.6
2023-07-08 12:00,18.7
2023-07-09 12:00,16.7
2023-07-10 12:00,3.0
2023-07-11 12:00,26.8
2023-07-12 12:00,26.0
2023-07-13 12:00,11.6
2023-07-14 12:00,3.0
2023-07-15 12:00,3.1
2023-07-16 12:00,13.3
2023-07-17 12:00,3.0
2023-07-18 12:00,9.7
2023-07-19 12:00,18.7
2023-07-20 12:00,3.0
2023-07-21 12:00,26.2
2023-07-22 12:00,22.7
2023-07-23 12:00,3.0
2023-07-24 12:00,3.0
2023-07-25 12:00,8.2
2023-07-26 12:00,3.0
2023-07-27 12:00,8.5
2023-07-28 12:00,3.0
2023-07-29 12:00,9.1
2023-07-30 12:00,25.5
2023-07-31 12:00,3.0
2023-08-01 12:00,9.2
2023-08-02 12:00,3.0
2023-08-03 12:00,16.9
2023-08-04 12:00,10.2
2023-08-05 12:00,27.8
2023-08-06 12:00,14.1
2023-08-07 12:00,9.7
2023-08-08 12:00,17.4
2023-08-09 12:00,9.2
2023-08-10 12:00,3.0
2023-08-11 12:00,16.2
2023-08-12 12:00,12.7
2023-08-13 12:00,15.7
2023-08-14 12:00,17.7
2023-08-15 12:00,11.0
2023-08-16 12:00,18.8
2023-08-17 12:00,29.6
2023-08-18 12:00,7.2
2023-08-19 12:00,30.4
2023-08-20 12:00,14.9
2023-08-21 12:00,11.1
2023-08-22 12:00,37.1
2023-08-23 12:00,19.3
2023-08-24 12:00,29.4
2023-08-25 12:00,25.4
2023-08-26 12:00,5.9
2023-08-27 12:00,20.7
2023-08-28 12:00,16.0
2023-08-29 12:00,10.0
2023-08-30 12:00,7.0
2023-08-31 12:00,22.5
2023-09-01 12:00,26.9
2023-09-02 12:00,25.8
2023-09-03 12:00,20.7
2023-09-04 12:00,17.3
2023-09-05 12:00,16.3
2023-09-06 12:00,20.3
2023-09-07 12:00,17.0
2023-09-08 12:00,24.2
2023-09-09 12:00,26.2
2023-09-10 12:00,19.7
2023-09-11 12:00,25.6
2023-09-12 12:00,22.0
2023-09-13 12:00,28.6
2023-09-14 12:00,33.3
2023-09-15 12:00,31.2
2023-09-16 12:00,34.2
2023-09-17 12:00,17.8
2023-09-18 12:00,28.6
2023-09-19 12:00,34.4
2023-09-20 12:00,38.0
2023-09-21 12:00,20.7
2023-09-22 12:00,35.4
2023-09-23 12:00,44.4
2023-09-24 12:00,33.9
2023-09-25 12:00,35.3
2023-09-26 12:00,40.3
2023-09-27 12:00,39.3
2023-09-28 12:00,43.4
2023-09-29 12:00,39.2
2023-09-30 12:00,40.5
2023-10-01 12:00,33.7
2023-10-02 12:00,39.3
2023-10-03 12:00,51.3
2023-10-04 12:00,40.3
2023-10-05 12:00,41.3
2023-10-06 12:00,39.4
2023-10-07 12:00,50.3
2023-10-08 12:00,37.8
2023-10-09 12:00,52.6
2023-10-10 12:00,38.6
2023-10-11 12:00,38.3
2023-10-12 12:00,49.1
2023-10-13 12:00,49.1
2023-10-14 12:00,51.2
2023-10-15 12:00,58.0
2023-10-16 12:00,46.9
2023-10-17 12:00,54.4
2023-10-18 12:00,44.3
2023-10-19 12:00,62.3
2023-10-20 12:00,58.0
2023-10-21 12:00,57.9
2023-10-22 12:00,55.8
2023-10-23 12:00,48.7
2023-10-24 12:00,53.0
2023-10-25 12:00,60.4
2023-10-26 12:00,56.9
2023-10-27 12:00,58.7
2023-10-28 12:00,47.5
2023-10-29 12:00,60.5
2023-10-30 12:00,54.2
2023-10-31 12:00,51.7
2023-11-01 12:00,59.8
2023-11-02 12:00,46.9
2023-11-03 12:00,67.9
2023-11-04 12:00,69.8
2023-11-05 12:00,63.2
2023-11-06 12:00,56.4
2023-11-07 12:00,57.4
2023-11-08 12:00,64.4
2023-11-09 12:00,46.8
2023-11-10 12:00,68.3
2023-11-11 12:00,72.8
2023-11-12 12:00,65.6
2023-11-13 12:00,64.7
2023-11-14 12:00,70.8
2023-11-15 12:00,72.7
2023-11-16 12:00,79.2
2023-11-17 12:00,71.2
2023-11-18 12:00,66.1
2023-11-19 12:00,68.6
2023-11-20 12:00,74.3
2023-11-21 12:00,85.8
2023-11-22 12:00,71.4
2023-11-23 12:00,66.1
2023-11-24 12:00,68.1
2023-11-25 12:00,58.8
2023-11-26 12:00,78.7
2023-11-27 12:00,65.7
2023-11-28 12:00,67.2
2023-11-29 12:00,61.8
2023-11-30 12:00,69.2
2023-12-01 12:00,83.1
2023-12-02 12:00,68.6
2023-12-03 12:00,65.5
2023-12-04 12:00,81.4
2023-12-05 12:00,77.7
2023-12-06 12:00,84.3
2023-12-07 12:00,87.2
2023-12-08 12:00,81.7
2023-12-09 12:00,71.8
2023-12-10 12:00,81.6
2023-12-11 12:00,87.0
2023-12-12 12:00,78.7
2023-12-13 12:00,72.2
2023-12-14 12:00,92.9
2023-12-15 12:00,81.1
2023-12-16 12:00,81.5
2023-12-17 12:00,85.2
2023-12-18 12:00,93.7
2023-12-19 12:00,87.9
2023-12-20 12:00,83.4
2023-12-21 12:00,91.8
2023-12-22 12:00,103.8
2023-12-23 12:00,98.0
2023-12-24 12:00,92.5
2023-12-25 12:00,78.4
2023-12-26 12:00,117.7
2023-12-27 12:00,78.3
2023-12-28 12:00,85.1
2023-12-29 12:00,82.7
2023-12-30 12:00,101.5
2023-12-31 12:00,92.0
2023-03-05 12:00,-999
2023-03-06 12:00,
2022-01-01 12:00,999
